Fish #,Species,Summer Weight (g),Winter Weight (g),Summer Length (cm) ,Winter Length (cm)
1,Oreochromis mossambicus,149.57,899.60,20.300,37.200
2,Oreochromis mossambicus,119.85,502.25,18.100,29.100
3,Oreochromis mossambicus,139.33,413.84,19.900,27.100
4,Oreochromis mossambicus,749.73,313.79,35.500,25.400
5,Oreochromis mossambicus,648.80,349.70,33.500,26.100
6,Oreochromis mossambicus,159.02,295.28,20.510,24.900
7,Oreochromis mossambicus,159.02,280.14,20.310,24.500
8,Oreochromis mossambicus,153.50,285.40,24.500,24.500
9,Oreochromis mossambicus,158.43,386.73,20.100,27.600
10,Oreochromis mossambicus,145.67,264.72,19.500,24.300
1,Labeo rosae,403.30,721.35,31.120,38.500
2,Labeo rosae,391.82,219.31,32.850,26.900
3,Labeo rosae,489.72,586.61,35.670,36.000
4,Labeo rosae,362.05,255.32,31.300,30.100
5,Labeo rosae,301.59,337.02,30.300,24.300
6,Labeo rosae,477.90,311.03,34.600,24.900
7,Labeo rosae,483.72,254.94,33.600,29.600
8,Labeo rosae,370.39,279.94,35.500,30.300
9,Labeo rosae,340.03,374.80,30.700,33.500
10,Labeo rosae,400.01,382.00,34.100,35.200
